GET	1170
GET	613
PUT	2261
PUT	15233
GET	3539
PUT	15461
PUT	15465
GET	5760
PUT	17921
PUT	5071
GET	12438
GET	9516
GET	20344
PUT	21247
PUT	26362
PUT	21962
PUT	22244
PUT	22530
PUT	26720
PUT	22138
GET	7344
PUT	18617
PUT	21596
PUT	21812
PUT	22954
PUT	22371
PUT	20449
PUT	23275
GET	25561
GET	1592
PUT	23503
GET	12486
GET	1581
GET	2703
PUT	24178
GET	2081
PUT	25650
GET	7564
PUT	14908
PUT	8822
PUT	8179
GET	9657
GET	10560
GET	17150
PUT	30732
GET	22219
PUT	9213
GET	8440
GET	23454
PUT	9048
PUT	39896
PUT	29586
PUT	40609
PUT	41078
PUT	47169
PUT	12113
GET	35030
PUT	593
PUT	25180
GET	23986
PUT	24391
PUT	47282
GET	25812
PUT	47683
GET	36181
PUT	46379
GET	42473
PUT	48250
PUT	33250
GET	26559
PUT	50453
PUT	1499
GET	17752
PUT	29355
PUT	18135
GET	1550
GET	35769
PUT	18553
GET	8749
GET	29100
GET	2809
GET	17260
PUT	1840
GET	9685
GET	6981
GET	30631
GET	6887
GET	9306
GET	21507
PUT	33412
PUT	22421
GET	29508
GET	19108
GET	807
PUT	30204
GET	371
PUT	464
PUT	10358
GET	24836
PUT	1965
GET	6468
GET	35959
GET	38696
GET	34318
GET	36751
PUT	2610
PUT	27187
GET	27473
PUT	11487
GET	5361
PUT	30516
PUT	12382
PUT	4820
GET	16861
PUT	40299
GET	15580
GET	GET	32637
PUT	10838
43280
GET	22449
PUT	15160
GET	15366
GET	15398
PUT	15612
PUT	13858
GET	15385
GET	20951
PUT	42367
GET	16869
PUT	14228
GET	12870
PUT	16527
PUT	10746
PUT	3714
PUT	2781
GET	8986
PUT	10557
PUT	14574
PUT	17444
GET	13938
GET	15205
GET	5637
PUT	11592
PUT	19803
GET	3035
GET	3595
GET	3446
PUT	20393
GET	21318
GET	9254
GET	15216
PUT	9530
GET	7537
PUT	6382
GET	26825
PUT	8522
GET	11793
PUT	27638
PUT	11248
PUT	9962
PUT	24377
GET	15171
PUT	22383
GET	14873
PUT	14562
PUT	21233
GET	11189
PUT	22541
GET	4892
GET	14750
GET	22176
PUT	3616
GET	1022
GET	12221
PUT	18412
PUT	725
GET	9773
GET	19820
GET	6069
PUT	18912
GET	16069
PUT	1941
PUT	9727
GET	10038
GET	9575
GET	19762
GET	17742
GET	9636
PUT	11189
GET	8446
PUT	7899
GET	15236
GET	9893
GET	4962
PUT	6243
PUT	17888
GET	17646
GET	11579
PUT	16282
PUT	8980
PUT	3541
PUT	13204
PUT	15853
GET	5422
GET	13392
GET	2179
GET	5803
GET	18054
GET	5800
GET	10293
GET	11480
GET	12809
GET	10129
PUT	2614
GET	10788
PUT	9923
PUT	13094
GET	6534
PUT	5190
PUT	9992
PUT	11819
GET	7271
GET	9931
GET	8143
GET	1794
GET	2322
PUT	7367
GET	8548
GET	4999
PUT	10889
PUT	6805
GET	6689
GET	4290
GET	6339
GET	3540
GET	5255
GET	4825
GET	1002522
PUT	642
GET	1001063
GET	1002822
PUT	3484
GET	4369
GET	9447
PUT	11428
PUT	7632
PUT	9537
GET	3922
GET	1003305
GET	7319
GET	6053
PUT	8416
GET	4877
PUT	693
GET	1002904
PUT	3069
GET	3074
GET	1000772
VALS	30	50	3
PUT	3217
PUT	2663
PUT	545
PUT	2550
PUT	1491
PUT	595
GET	379
PUT	2263
PUT	2315
PUT	1996
PUT	2163
PUT	2916
GET	1984
PUT	3961
PUT	2709
PUT	2619
PUT	1739
PUT	3362
GET	1947
GET	2190
PUT	4959
GET	2242
PUT	5996
PUT	2433
GET	3217
PUT	7076
PUT	7078
PUT	2290
GET	5632
PUT	5987
PUT	9770
GET	9877
GET	4850
PUT	10586
GET	7485
PUT	14861
PUT	12032
PUT	12546
PUT	14496
PUT	6713
PUT	14922
PUT	19450
GET	13085
PUT	17095
PUT	7030
PUT	20778
GET	6112
PUT	9556
PUT	10171
GET	20626
GET	7853
PUT	23126
PUT	25537
PUT	2044
GET	21213
GET	13475
PUT	23152
GET	12975
GET	6559
GET	15935
